Tactics,Sentence
Credential Access,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Command and Control,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Collection,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Resource Development,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Initial Access,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Defense Evasion,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Lateral Movement,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Execution,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Persistence,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Privilege Escalation,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Credential Access,Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.
Defense Evasion,Smoke Loader is a malicious bot application that can be used to load other malware.
Credential Access,Smoke Loader is a malicious bot application that can be used to load other malware.
Collection,Smoke Loader is a malicious bot application that can be used to load other malware.
Execution,Smoke Loader is a malicious bot application that can be used to load other malware.
Command and Control,Smoke Loader is a malicious bot application that can be used to load other malware.
Discovery,Smoke Loader is a malicious bot application that can be used to load other malware.
Persistence,Smoke Loader is a malicious bot application that can be used to load other malware.
Privilege Escalation,Smoke Loader is a malicious bot application that can be used to load other malware.
Initial Access,Smoke Loader is a malicious bot application that can be used to load other malware.
Defense Evasion,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Credential Access,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Collection,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Execution,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Command and Control,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Discovery,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Persistence,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Privilege Escalation,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Initial Access,Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads.
Defense Evasion,It is notorious for its use of deception and self-protection.
Credential Access,It is notorious for its use of deception and self-protection.
Collection,It is notorious for its use of deception and self-protection.
Execution,It is notorious for its use of deception and self-protection.
Command and Control,It is notorious for its use of deception and self-protection.
Discovery,It is notorious for its use of deception and self-protection.
Persistence,It is notorious for its use of deception and self-protection.
Privilege Escalation,It is notorious for its use of deception and self-protection.
Initial Access,It is notorious for its use of deception and self-protection.
Defense Evasion,It also comes with several plug-ins.
Credential Access,It also comes with several plug-ins.
Collection,It also comes with several plug-ins.
Execution,It also comes with several plug-ins.
Command and Control,It also comes with several plug-ins.
Discovery,It also comes with several plug-ins.
Persistence,It also comes with several plug-ins.
Privilege Escalation,It also comes with several plug-ins.
Initial Access,It also comes with several plug-ins.
Defense Evasion,Dark Caracal is threat group that has been attributed to the Lebanese General Directorate of General Security GDGS and has operated since at least 2012.
Execution,Dark Caracal is threat group that has been attributed to the Lebanese General Directorate of General Security GDGS and has operated since at least 2012.
Command and Control,Dark Caracal is threat group that has been attributed to the Lebanese General Directorate of General Security GDGS and has operated since at least 2012.
